login-login,name-name,first-first,last-last,prefix-prefix,domain-domain,login-name,name-login,first-last,last-first,login-prefix,prefix-login,domref-name,name-domref,domref-login,login-domref,first-freq-score,last-freq-score,prefix-freq-score,domain-freq-score,label
,0.15,0.29,0.14,0.38,0.5,0.58,,0.0,1.0,0.58,,,0.23,,0.25,2.095903274289385,1.0,1.0,0.3598579245212535,0.0
,1.0,1.0,1.0,1.0,0.07,0.6,,0.12,0.12,0.11,,0.2,0.07,,0.0,1.660964047443681,1.660964047443681,1.660964047443681,1.0,1.0
,0.14,0.29,0.0,0.54,0.41,0.57,,0.17,1.0,0.58,,,0.08,,0.62,2.095903274289385,1.0,1.0,0.3598579245212535,0.0
,0.6,1.0,0.33,0.5,1.0,0.5,,0.5,0.5,0.5,,,,,,0.5239758185723462,1.0,3.321928094887362,0.17992896226062674,0.0
,0.67,0.6,0.67,0.54,0.21,0.67,,0.0,0.17,0.58,,,0.15,,0.15,1.0,1.0,1.0,0.2180999182845727,0.0
,0.55,1.0,0.0,0.62,0.38,0.55,,0.4,0.0,0.62,,,0.22,,0.22,0.42513707686380126,0.8304820237218405,3.321928094887362,0.3598579245212535,0.0
,1.0,1.0,1.0,1.0,1.0,0.14,,0.25,0.25,0.15,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,1.0,1.0,1.0,0.33,0.07,0.91,,0.17,0.17,0.5,,0.0,0.18,,0.2,1.660964047443681,1.660964047443681,1.0,1.0,1.0
,0.67,1.0,0.33,0.64,0.5,0.58,,0.0,0.17,0.64,,,0.25,,0.27,0.6425486044692343,1.0,1.0,0.3598579245212535,1.0
,1.0,1.0,1.0,1.0,1.0,0.19,,0.22,0.22,0.2,,,,,,1.0,1.0,1.0,0.17992896226062674,1.0
,1.0,1.0,1.0,1.0,1.0,0.92,,0.17,0.17,0.25,,0.54,0.54,,0.58,0.6425486044692343,1.0,1.0,1.0,1.0
,1.0,1.0,1.0,1.0,1.0,0.31,,0.12,0.12,0.75,,,,,,1.0,0.7153382790366964,1.0,0.17992896226062674,1.0
,1.0,1.0,1.0,1.0,1.0,0.31,,0.12,0.12,1.0,,0.92,0.92,,0.33,1.0,1.0,1.0,1.0,1.0
,1.0,1.0,1.0,1.0,1.0,0.78,,0.2,0.2,0.44,,,,,,0.5239758185723462,1.0,1.0,0.17992896226062674,1.0
,1.0,1.0,1.0,1.0,1.0,0.9,,0.0,0.0,0.44,,0.9,0.9,,1.0,1.0,0.46331420401456336,1.0,1.0,1.0
,0.75,1.0,0.43,1.0,1.0,0.62,,0.12,0.12,0.62,,,,,,1.660964047443681,1.660964047443681,1.660964047443681,0.17992896226062674,1.0
,0.09,0.2,0.17,1.0,1.0,0.9,,0.83,0.0,0.75,,,,,,1.430676558073393,1.0,1.660964047443681,0.17992896226062674,1.0
,0.62,0.38,1.0,1.0,1.0,0.54,,0.5,0.25,1.0,,,,,,1.0479516371446924,0.8304820237218405,1.660964047443681,0.17992896226062674,1.0
,1.0,1.0,1.0,1.0,1.0,0.92,,0.0,0.0,1.0,,,,,,1.0,0.46331420401456336,1.0,0.17992896226062674,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,,,,,1.0479516371446924,1.0479516371446924,1.0,1.0,1.0
,1.0,1.0,1.0,0.57,1.0,,,0.25,0.25,,,0.1,0.1,,,0.8304820237218405,1.0479516371446924,1.0,0.253404764971423,1.0
,0.08,0.0,0.0,0.0,1.0,,,0.12,0.0,,,,,,,1.660964047443681,1.0,1.0,0.2942959550338895,0.0
,1.0,1.0,1.0,0.12,0.25,,,0.0,0.0,,,,0.15,,,0.4801262838945638,1.660964047443681,1.0,0.41183875065716125,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.29,0.29,,,,,,,1.0,1.0,1.0,0.34190418799694455,1.0
,1.0,1.0,1.0,1.0,0.08,,,0.17,0.17,,,0.0,0.78,,,1.660964047443681,1.660964047443681,1.660964047443681,0.5419766203817945,1.0
,0.12,0.0,0.0,0.13,0.28,,,0.1,0.0,,,0.12,,,,3.321928094887362,1.0,1.0,0.3598579245212535,0.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,,,,,0.5916473312274692,1.0,1.0,0.17992896226062674,1.0
,0.24,0.33,0.2,0.0,1.0,,,0.2,0.44,,,,,,,3.321928094887362,1.0,1.0,0.17992896226062674,0.0
,0.19,0.0,0.2,0.0,1.0,,,0.0,0.1,,,0.0,0.25,,,2.095903274289385,1.0,3.321928094887362,1.0479516371446924,0.0
,1.0,1.0,1.0,0.62,0.5,,,0.17,0.17,,,,0.18,,,1.660964047443681,0.7153382790366964,1.0,0.469410012078276,1.0
,1.0,1.0,1.0,0.1,0.39,,,0.0,0.0,,,,0.2,,,1.0479516371446924,1.660964047443681,1.0,0.3700372633130797,1.0
,1.0,1.0,1.0,0.33,0.26,,,0.12,0.12,,,0.0,0.15,,,0.5916473312274692,1.660964047443681,2.095903274289385,0.577235974402372,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,1.660964047443681,1.660964047443681,1.0,1.0479516371446924,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.17,0.17,,,0.08,0.08,,,0.8304820237218405,1.660964047443681,1.0,1.0,1.0
,1.0,1.0,1.0,0.26,0.15,,,0.1,0.1,,,0.05,0.25,,,1.660964047443681,1.660964047443681,1.0,1.2850972089384687,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.5,0.5,,,1.0,1.0479516371446924,1.0,1.0,1.0
,0.18,0.2,0.17,0.2,0.31,,,0.2,0.0,,,0.09,0.1,,,0.5495882679536371,1.660964047443681,3.321928094887362,0.34196460124938927,0.0
